STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,geometry
01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",Non-ref,NorthEast,115.1919,01,42.37287,-71.828128,MA,,yes,12.0,12.0,12.0,POINT (1956664.494074249 2402804.000617005)
01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",Non-ref,NorthEast,17.4951,01,42.398151,-71.27339,MA,,yes,12.0,12.0,12.0,POINT (1999836.069762781 2417085.309226359)
01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",Non-ref,NorthEast,57.1176,01,42.368985,-71.270612,MA,,yes,8.0,8.0,8.0,POINT (2000894.68891675 2413992.532686044)
01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",Non-ref,NorthEast,2.0808,01,42.354541,-71.268112,MA,,yes,5.0,5.0,5.0,POINT (2001507.952266962 2412484.537228478)
01115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",Non-ref,NorthEast,13.3569,01,41.852599,-71.606175,RI,,yes,15.0,15.0,15.0,POINT (1989009.99926204 2351110.187850182)
01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",Non-ref,NorthEast,38.8251,01,41.81871,-71.705068,RI,,yes,15.0,15.0,15.0,POINT (1982082.11303899 2345376.104635837)
01119500,"WILLIMANTIC RIVER NEAR COVENTRY, CT.",Non-ref,NorthEast,314.8461,01,41.750654,-72.265635,CT,,yes,78.0,60.0,20.0,POINT (1939197.243934147 2326438.038698205)
01129200,"CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH",Non-ref,NorthEast,658.7442,01,45.040324,-71.443971,NH,,yes,53.0,53.0,20.0,POINT (1911027.822188289 2698489.862190301)
01160000,"S BR ASHUELOT RIVER AT WEBB, NR MARLBOROUGH, NH",Non-ref,NorthEast,92.916,01,42.872027,-72.213695,NH,,yes,58.0,29.0,0.0,POINT (1912294.493106747 2448980.846754131)
01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT.",Non-ref,NorthEast,25049.46,01,41.987319,-72.605367,CT,,yes,81.0,60.0,20.0,POINT (1905554.403373353 2345233.791824357)
01186000,"WEST BRANCH FARMINGTON RIVER AT RIVERTON, CT",Non-ref,NorthEast,333.5841,01,41.962873,-73.017606,CT,,yes,53.0,53.0,19.0,POINT (1873294.564213744 2334384.099251236)
01188000,"BURLINGTON BROOK NEAR BURLINGTON, CT.",Ref,NorthEast,10.6235,01,41.786209,-72.964826,CT,,yes,77.0,59.0,19.0,POINT (1882256.230750049 2316238.554348929)
01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",Non-ref,NorthEast,190.6678,01,41.783155,-72.587311,CT,,yes,77.0,54.0,19.0,POINT (1912565.711103079 2323444.356033206)
01193500,"SALMON RIVER NEAR EAST HAMPTON, CT.",Ref,NorthEast,271.2563,01,41.552321,-72.449253,CT,,yes,80.0,59.0,19.0,POINT (1929948.54093903 2301188.831738641)
01196500,"QUINNIPIAC RIVER AT WALLINGFORD, CT.",Non-ref,NorthEast,285.7488,01,41.449542,-72.840934,CT,,yes,79.0,60.0,20.0,POINT (1901270.011665817 2282135.821504842)
01362500,ESOPUS CREEK AT COLDBROOK NY,Non-ref,NorthEast,493.1622,02,42.014259,-74.270703,NY,,yes,78.0,60.0,20.0,POINT (1771690.825119344 2315942.620470877)
01367800,Papakating Creek at Pellettown NJ,Non-ref,EastHghlnds,42.8715,02,41.162778,-74.675278,NJ,,yes,6.0,6.0,6.0,POINT (1760468.372508072 2215567.347522409)
01372058,HUDSON RIVER BELOW POUGHKEEPSIE NY,Non-ref,NorthEast,30781.58,02,41.650927,-73.944582,NY,,yes,0.0,0.0,0.0,POINT (1807155.318669656 2282506.223191155)
01379000,PASSAIC RIVER NEAR MILLINGTON NJ,Non-ref,SEPlains,140.4292,02,40.68,-74.528889,NJ,,yes,89.0,60.0,20.0,POINT (1784458.622278589 2165600.513919768)
01379500,PASSAIC RIVER NEAR CHATHAM NJ,Non-ref,SEPlains,256.0499,02,40.726111,-74.389722,NJ,,yes,80.0,60.0,20.0,POINT (1794661.06225987 2173253.464991827)
01379773,GREEN POND BROOK AT PICATINNY ARSENAL NJ,Non-ref,NorthEast,19.5633,02,40.959444,-74.539722,NJ,,yes,27.0,27.0,20.0,POINT (1776566.567297512 2195897.485895903)
01379790,GREEN POND BROOK AT WHARTON NJ,Non-ref,NorthEast,32.4765,02,40.917778,-74.583611,NJ,,,23.0,23.0,16.0,POINT (1774037.646047475 2190530.01383622)
01382500,PEQUANNOCK R AT MACOPIN INTAKE DAM NJ,Non-ref,NorthEast,164.1465,02,41.018333,-74.401111,NJ,,yes,84.0,57.0,17.0,POINT (1786357.919269173 2204921.42529608)
01388000,RAMAPO RIVER AT POMPTON LAKES NJ,Non-ref,NorthEast,420.579,02,40.991972,-74.279861,NJ,,yes,88.0,60.0,20.0,POINT (1796880.072121148 2204331.891695097)
01388500,POMPTON RIVER AT POMPTON PLAINS NJ,Non-ref,NorthEast,923.0895,02,40.969167,-74.281944,NJ,,yes,70.0,60.0,20.0,POINT (1797289.260988557 2201805.231940251)
01389500,PASSAIC RIVER AT LITTLE FALLS NJ,Non-ref,NorthEast,1981.95,02,40.884722,-74.226111,NJ,,yes,110.0,60.0,20.0,POINT (1803976.416100478 2193653.486165742)
01390500,SADDLE RIVER AT RIDGEWOOD NJ,Non-ref,NorthEast,57.50443,02,40.985,-74.090556,NJ,,yes,52.0,52.0,20.0,POINT (1812442.259062951 2207166.5308469)
01391500,SADDLE RIVER AT LODI NJ,Non-ref,NorthEast,146.4624,02,40.890278,-74.080556,NJ,,yes,86.0,60.0,20.0,POINT (1815679.644601847 2197031.2389553)
01394500,RAHWAY RIVER NEAR SPRINGFIELD NJ,Non-ref,SEPlains,67.09879,02,40.6875,-74.311667,NJ,,yes,71.0,60.0,20.0,POINT (1802008.950571881 2170517.844581094)
01395000,RAHWAY RIVER AT RAHWAY NJ,Non-ref,SEPlains,107.8884,02,40.618889,-74.283333,NJ,,yes,88.0,60.0,20.0,POINT (1806062.814115819 2163570.544312115)
01396500,SOUTH BRANCH RARITAN RIVER NEAR HIGH BRIDGE NJ,Non-ref,NorthEast,162.5247,02,40.677778,-74.879167,NJ,,yes,91.0,60.0,20.0,POINT (1755886.958447329 2158833.252018727)
01396660,MULHOCKAWAY CREEK AT VAN SYCKEL NJ,Non-ref,SEPlains,30.44061,02,40.6475,-74.968889,NJ,,yes,32.0,32.0,20.0,POINT (1749294.681102931 2153870.470118201)
01397000,SOUTH BRANCH RARITAN RIVER AT STANTON NJ,Non-ref,NorthEast,388.6272,02,40.5725,-74.867778,NJ,,yes,93.0,60.0,20.0,POINT (1759418.651390993 2147542.374686858)
01398000,NESHANIC RIVER AT REAVILLE NJ,Non-ref,SEPlains,65.97871,02,40.473333,-74.827778,NJ,,yes,79.0,60.0,20.0,POINT (1765148.027173331 2137450.162670021)
01400500,RARITAN RIVER AT MANVILLE NJ,Non-ref,SEPlains,1271.465,02,40.555,-74.583611,NJ,,yes,91.0,60.0,20.0,POINT (1783116.557046948 2150927.523719857)
01401000,STONY BROOK AT PRINCETON NJ,Non-ref,SEPlains,115.1827,02,40.333056,-74.681944,NJ,,yes,56.0,56.0,20.0,POINT (1780597.931428466 2124847.600623695)
01402000,MILLSTONE RIVER AT BLACKWELLS MILLS NJ,Non-ref,SEPlains,670.3794,02,40.475,-74.575833,NJ,,yes,88.0,60.0,20.0,POINT (1785756.238881067 2142339.129504259)
01408000,MANASQUAN RIVER AT SQUANKUM NJ,Non-ref,SECstPlain,114.1338,02,40.161389,-74.154722,NJ,,yes,78.0,60.0,20.0,POINT (1828247.657000944 2116119.704207927)
01408500,TOMS RIVER NEAR TOMS RIVER NJ,Non-ref,SECstPlain,318.7953,02,39.986389,-74.223333,NJ,,yes,81.0,60.0,20.0,POINT (1827060.34790387 2095706.907469668)
01409810,WEST BRANCH WADING RIVER NEAR JENKINS NJ,Ref,SECstPlain,218.6712,02,39.688056,-74.548056,NJ,,yes,25.0,25.0,10.0,POINT (1807766.284084172 2056928.126356767)
01411000,GREAT EGG HARBOR RIVER AT FOLSOM NJ,Non-ref,SECstPlain,145.1837,02,39.594722,-74.851667,NJ,,yes,84.0,60.0,20.0,POINT (1784916.089976717 2040991.526555113)
01411500,MAURICE RIVER AT NORMA NJ,Non-ref,SECstPlain,270.1735,02,39.495556,-75.076944,NJ,,yes,77.0,60.0,20.0,POINT (1768639.650271643 2025937.445918918)
01417500,EAST BR DELAWARE RIVER AT HARVARD NY,Non-ref,NorthEast,1183.973,02,42.024809,-75.11989,NY,,yes,63.0,48.0,20.0,POINT (1703336.423592255 2301567.293945007)
01420500,BEAVER KILL AT COOKS FALLS NY,Non-ref,NorthEast,627.0471,02,41.946477,-74.979609,NY,,yes,95.0,60.0,20.0,POINT (1716515.972234707 2295540.8471164)
01421000,EAST BR DELAWARE R AT FISHS EDDY NY,Non-ref,NorthEast,2029.478,02,41.973143,-75.174058,NY,,yes,96.0,60.0,20.0,POINT (1700245.038940168 2294956.315498611)
01425000,WEST BR DELAWARE RIVER AT STILESVILLE NY,Non-ref,NorthEast,1180.565,02,42.074806,-75.396009,NY,,yes,57.0,57.0,20.0,POINT (1679964.886995586 2302111.932910841)
01426500,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,Non-ref,NorthEast,1539.334,02,42.00314,-75.383508,NY,,yes,96.0,60.0,20.0,POINT (1682693.611204239 2294504.552544015)
01427207,DELAWARE RIVER AT LORDVILLE NY,Non-ref,NorthEast,4117.51,02,41.86731,-75.213783,PA,,yes,3.0,3.0,3.0,POINT (1699622.880406455 2282688.540551229)
01427510,DELAWARE RIVER AT CALLICOON NY,Non-ref,NorthEast,4724.998,02,41.756755,-75.05739,PA,,yes,34.0,34.0,20.0,POINT (1714907.67732991 2273425.445915597)
01428500,DELAWARE R ABOVE LACKAWAXEN R NR BARRYVILLE NY,Non-ref,NorthEast,5242.786,02,41.508978,-74.985723,PA,,yes,69.0,60.0,20.0,POINT (1726761.909213854 2247667.845437853)
01428750,"West Branch Lackawaxen River near Aldenville, PA",Non-ref,NorthEast,107.9028,02,41.67453,-75.376013,PA,,yes,23.0,23.0,20.0,POINT (1691212.124817438 2258733.807587828)
01429000,"West Branch Lackawaxen River at Prompton, PA",Non-ref,NorthEast,151.3764,02,41.587309,-75.326845,PA,,yes,65.0,60.0,20.0,POINT (1697286.902791457 2250079.126574108)
01434000,DELAWARE RIVER AT PORT JERVIS NY,Non-ref,NorthEast,7967.644,02,41.370649,-74.697385,PA,,yes,105.0,60.0,20.0,POINT (1753501.1940743 2237846.579303992)
01436690,NEVERSINK RIVER AT BRIDGEVILLE NY,Non-ref,NorthEast,443.0349,02,41.638064,-74.616883,NY,,yes,17.0,17.0,17.0,POINT (1753337.95052369 2268509.995143428)
01440000,FLAT BROOK NEAR FLATBROOKVILLE NJ,Ref,NorthEast,167.7204,02,41.106667,-74.952222,NJ,yes,yes,86.0,60.0,20.0,POINT (1739362.79531238 2204340.943602001)
01447500,"Lehigh River at Stoddartsville, PA",Non-ref,NorthEast,240.1902,02,41.130363,-75.625467,PA,,yes,66.0,60.0,20.0,POINT (1684031.704714853 2194805.018340228)
01447720,"Tobyhanna Creek near Blakeslee, PA",Non-ref,NorthEast,308.1267,02,41.084808,-75.605467,PA,,yes,48.0,48.0,20.0,POINT (1686745.562862724 2190176.164429306)
01447800,Lehigh R bl Francis E Walter Res nr White Haven PA,Non-ref,NorthEast,752.6691,02,41.104806,-75.732136,PA,,yes,52.0,52.0,20.0,POINT (1675955.167506017 2190123.125754209)
01449360,"Pohopoco Creek at Kresgeville, PA",Non-ref,NorthEast,129.4857,02,40.897592,-75.502408,PA,,yes,43.0,43.0,20.0,POINT (1699623.495157703 2171532.176988852)
01451800,"Jordan Creek near Schnecksville, PA",Ref,EastHghlnds,135.8448,02,40.661762,-75.626854,PA,yes,yes,43.0,43.0,20.0,POINT (1695082.452017661 2143506.468399719)
01460880,Lockatong Creek at Raven Rock NJ,Ref,SEPlains,59.5026,02,40.416111,-75.017778,NJ,,yes,3.0,3.0,3.0,POINT (1750970.74085381 2127682.290095837)
01463500,DELAWARE RIVER AT TRENTON NJ,Non-ref,NorthEast,17579.75,02,40.221667,-74.778056,NJ,,yes,97.0,60.0,20.0,POINT (1775467.981676833 2110881.737903503)
01464500,CROSSWICKS CREEK AT EXTONVILLE NJ,Non-ref,SECstPlain,200.8458,02,40.137222,-74.6,NJ,,yes,68.0,59.0,20.0,POINT (1792225.35567256 2105000.015499501)
01464907,Little Neshaminy C at Valley Road nr Neshaminy PA,Non-ref,SEPlains,72.29809,02,40.229275,-75.119616,PA,,yes,10.0,10.0,10.0,POINT (1747171.792121431 2105382.903716601)
01466500,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ,Ref,SECstPlain,5.376711,02,39.885,-74.505278,NJ,yes,yes,56.0,56.0,20.0,POINT (1806360.42122196 2079249.603168605)
01467150,COOPER RIVER AT HADDONFIELD NJ,Non-ref,SECstPlain,46.98304,02,39.903056,-75.021389,NJ,,yes,46.0,46.0,20.0,POINT (1763260.517500641 2071529.405263996)
01472157,"French Creek near Phoenixville, PA",Non-ref,SEPlains,152.29,02,40.151491,-75.601305,PA,,yes,41.0,41.0,20.0,POINT (1709350.993574688 2088113.025944475)
01474500,"Schuylkill River at Philadelphia, PA",Non-ref,SEPlains,4895.962,02,39.967891,-75.188512,PA,,yes,78.0,60.0,20.0,POINT (1747861.686552129 2075531.97164266)
01475510,"DARBY CREEK NEAR DARBY, PA.",Non-ref,SEPlains,98.001,02,39.929002,-75.272406,PA,,,26.0,26.0,1.0,POINT (1741871.008512902 2069737.79694362)
01477120,RACCOON CREEK NEAR SWEDESBORO NJ,Non-ref,SECstPlain,67.43215,02,39.740556,-75.259167,NJ,,yes,43.0,43.0,20.0,POINT (1747538.007917735 2049365.160934946)
01480400,"Birch Run near Wagontown, PA",Non-ref,SEPlains,12.0384,02,40.027326,-75.844945,PA,,yes,14.0,14.0,14.0,POINT (1692171.960323673 2070156.571716785)
01480500,"West Branch Brandywine Creek at Coatesville, PA",Non-ref,SEPlains,119.376,02,39.985661,-75.827447,PA,,yes,47.0,41.0,20.0,POINT (1694602.471249561 2065904.703351166)
01480617,"West Branch Brandywine Creek at Modena, PA",Non-ref,SEPlains,143.4861,02,39.961773,-75.801334,PA,,yes,39.0,39.0,20.0,POINT (1697327.583398726 2063754.259562167)
01480685,"Marsh Creek near Downingtown, PA",Non-ref,SEPlains,52.0632,02,40.055382,-75.716325,PA,,yes,36.0,36.0,20.0,POINT (1702140.824462563 2075526.176841304)
01480870,"East Branch Brandywine Creek below Downingtown, PA",Non-ref,SEPlains,232.1622,02,39.968719,-75.673272,PA,,yes,37.0,37.0,20.0,POINT (1707759.620907205 2066809.163717594)
01481000,"Brandywine Creek at Chadds Ford, PA",Non-ref,SEPlains,755.1738,02,39.869833,-75.593262,PA,,yes,89.0,51.0,20.0,POINT (1716739.259442904 2057423.912556246)
01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",Non-ref,SEPlains,823.9563,02,39.769417,-75.573278,DE,,yes,63.0,60.0,20.0,POINT (1720794.524578761 2046791.831043129)
01482500,SALEM RIVER AT WOODSTOWN NJ,Non-ref,SECstPlain,37.4904,02,39.643889,-75.330278,NJ,,yes,49.0,42.0,7.0,POINT (1743978.982418816 2037482.338294856)
01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",Ref,SECstPlain,292.0401,02,38.997194,-75.785806,MD,yes,yes,61.0,60.0,20.0,POINT (1721433.063711786 1958369.209763049)
01516500,"Corey Creek near Mainesburg, PA",Ref,NorthEast,31.4838,02,41.790907,-77.014688,PA,yes,yes,55.0,55.0,20.0,POINT (1556124.31070592 2243476.817448079)
01517000,"Elk Run near Mainesburg, PA",Ref,NorthEast,26.3286,02,41.815074,-76.964964,PA,,,24.0,24.0,0.0,POINT (1559607.372966011 2246941.982190436)
01518700,"Tioga River at Tioga Junction, PA",Non-ref,NorthEast,1142.424,02,41.952574,-77.115249,PA,,yes,33.0,33.0,20.0,POINT (1544420.347917035 2259565.605481002)
01520000,"Cowanesque River near Lawrenceville, PA",Non-ref,NorthEast,776.2662,02,41.99674,-77.139972,NY,,yes,58.0,58.0,20.0,POINT (1541450.930034483 2264007.8261402)
01536000,"Lackawanna River at Old Forge, PA",Non-ref,EastHghlnds,863.1477,02,41.359246,-75.744359,PA,,yes,71.0,60.0,20.0,POINT (1668934.32700085 2217747.961692138)
01540500,"Susquehanna River at Danville, PA",Non-ref,NorthEast,29041.52,02,40.958142,-76.619122,PA,,yes,104.0,60.0,20.0,POINT (1606979.440869937 2158736.22596141)
01541200,"WB Susquehanna River near Curwensville, PA",Non-ref,EastHghlnds,951.9687,02,40.961447,-78.519191,PA,,yes,54.0,54.0,20.0,POINT (1451245.600271693 2128525.699613516)
01547200,"Bald Eagle Creek bl Spring Creek at Milesburg, PA",Non-ref,EastHghlnds,694.2744,02,40.943116,-77.786391,PA,,yes,54.0,54.0,20.0,POINT (1511741.714708618 2137932.925401961)
01547700,"Marsh Creek at Blanchard, PA",Ref,EastHghlnds,113.5386,02,41.059509,-77.605826,PA,yes,yes,54.0,54.0,20.0,POINT (1524035.137726978 2153608.92199943)
01547950,"Beech Creek at Monument, PA",Non-ref,EastHghlnds,395.0667,02,41.111731,-77.702216,PA,,yes,41.0,41.0,20.0,POINT (1515029.213214925 2157806.119452212)
01549500,"Blockhouse Creek near English Center, PA",Ref,NorthEast,97.4853,02,41.473683,-77.230809,PA,yes,yes,69.0,60.0,20.0,POINT (1545608.06652635 2205148.056277323)
01551500,"WB Susquehanna River at Williamsport, PA",Non-ref,NorthEast,14703.78,02,41.23619,-76.996634,PA,,yes,110.0,60.0,20.0,POINT (1569916.515941068 2182925.112133076)
01553500,"West Branch Susquehanna River at Lewisburg, PA",Non-ref,NorthEast,17703.4,02,40.967585,-76.876354,PA,,yes,70.0,60.0,20.0,POINT (1585730.171125822 2155451.030898121)
01554500,"Shamokin Creek near Shamokin, PA",Non-ref,EastHghlnds,141.1443,02,40.810363,-76.584125,PA,,,53.0,44.0,4.0,POINT (1613198.358936935 2143123.844444995)
01563200,"Rays Br Juniata R bl Rays Dam nr Huntingdon, PA",Non-ref,EastHghlnds,2485.088,02,40.428964,-77.991114,PA,,yes,63.0,60.0,20.0,POINT (1505801.942492642 2078140.044417126)
01568000,"Sherman Creek at Shermans Dale, PA",Ref,EastHghlnds,534.3948,02,40.323419,-77.16887,PA,yes,yes,80.0,60.0,20.0,POINT (1575998.705893277 2079870.050724192)
01572025,"Swatara Creek near Pine Grove, PA",Non-ref,EastHghlnds,301.833,02,40.53259,-76.402179,PA,,yes,20.0,20.0,19.0,POINT (1634472.141144258 2115774.732763336)
01573000,"Swatara Creek at Harper Tavern, PA",Non-ref,EastHghlnds,871.6752,02,40.40259,-76.577188,PA,,yes,90.0,60.0,20.0,POINT (1623036.524595705 2098518.812225235)
01576500,"Conestoga River at Lancaster, PA",Non-ref,SEPlains,837.2034,02,40.050097,-76.27718,PA,,yes,79.0,60.0,20.0,POINT (1655885.157206959 2065038.12968605)
01595200,"STONY RIVER NEAR MOUNT STORM,WV",Non-ref,EastHghlnds,126.3654,02,39.269549,-79.262263,WV,,yes,48.0,48.0,20.0,POINT (1423422.54561728 1930796.330659501)
01598500,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD",Non-ref,EastHghlnds,1049.92,02,39.479194,-79.065,MD,,yes,66.0,60.0,20.0,POINT (1435856.574441735 1956891.723767445)
01600000,"NORTH BRANCH POTOMAC RIVER AT PINTO, MD",Non-ref,EastHghlnds,1553.818,02,39.566806,-78.839556,WV,,,52.0,41.0,5.0,POINT (1453001.040277611 1969979.167397456)
01601000,"Wills Creek below Hyndman, PA",Ref,EastHghlnds,378.0063,02,39.812029,-78.716407,PA,,yes,23.0,23.0,7.0,POINT (1458343.127205705 1998895.588772614)
01606500,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",Ref,EastHghlnds,1684.547,02,38.991221,-79.175871,WV,yes,yes,81.0,60.0,20.0,POINT (1436186.596563425 1901386.31376346)
01608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",Non-ref,EastHghlnds,3784.08,02,39.447039,-78.654182,WV,,yes,85.0,60.0,20.0,POINT (1470959.460784339 1959629.41689596)
01618000,"POTOMAC RIVER AT SHEPHERDSTOWN, WV",Non-ref,EastHghlnds,15422.54,02,39.434722,-77.801389,WV,,,70.0,49.0,9.0,POINT (1542675.611229622 1971794.853586383)
01621050,"MUDDY CREEK AT MOUNT CLINTON, VA",Non-ref,EastHghlnds,37.19126,02,38.48679,-78.960307,VA,,yes,16.0,16.0,16.0,POINT (1464475.175534206 1849031.73898377)
01626000,"SOUTH RIVER NEAR WAYNESBORO, VA",Non-ref,EastHghlnds,328.6971,02,38.057636,-78.908079,VA,,yes,57.0,57.0,20.0,POINT (1477520.118725705 1802511.668522452)
01627500,"SOUTH RIVER AT HARRISTON, VA",Non-ref,EastHghlnds,547.262,02,38.218742,-78.836692,VA,,yes,67.0,43.0,20.0,POINT (1480380.647631966 1821387.650070293)
01629500,"S F SHENANDOAH RIVER NEAR LURAY, VA",Non-ref,EastHghlnds,3551.746,02,38.646231,-78.534733,VA,,yes,48.0,32.0,20.0,POINT (1497377.584831504 1873241.092278526)
01631000,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA",Non-ref,EastHghlnds,4230.537,02,38.914001,-78.210834,VA,,yes,79.0,60.0,20.0,POINT (1519239.472162591 1907880.128356696)
01634000,"N F SHENANDOAH RIVER NEAR STRASBURG, VA",Non-ref,EastHghlnds,1995.23,02,38.976776,-78.336115,VA,,yes,84.0,60.0,20.0,POINT (1507363.79445581 1912799.167762282)
01636500,"SHENANDOAH RIVER AT MILLVILLE, WV",Non-ref,EastHghlnds,7872.947,02,39.282046,-77.789161,WV,,yes,90.0,60.0,20.0,POINT (1546958.361960835 1955195.622252548)
01649500,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",Non-ref,SEPlains,188.0622,02,38.96025,-76.925972,MD,,yes,71.0,60.0,20.0,POINT (1626509.623193042 1934232.640809547)
01651000,"NW BRANCH ANACOSTIA RIVER NEAR HYATTSVILLE, MD",Non-ref,SEPlains,127.8054,02,38.952333,-76.966056,MD,,yes,71.0,60.0,20.0,POINT (1623313.986297429 1932677.732289123)
01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",Non-ref,SEPlains,60.70827,02,38.812891,-77.228316,VA,,yes,62.0,60.0,20.0,POINT (1604307.981763762 1912902.983290853)
01658000,"MATTAWOMAN CREEK NEAR POMONKEY, MD",Non-ref,SEPlains,143.748,02,38.596139,-77.056028,MD,,yes,30.0,30.0,8.0,POINT (1623648.737620117 1892010.918165801)
01663500,"HAZEL RIVER AT RIXEYVILLE, VA",Ref,SEPlains,739.3113,02,38.591789,-77.964996,VA,,yes,58.0,51.0,11.0,POINT (1546796.464991538 1876370.14361935)
01664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA",Ref,SEPlains,1605.101,02,38.53068,-77.813605,VA,yes,yes,67.0,60.0,20.0,POINT (1560925.345684547 1872120.032864993)
01667500,"RAPIDAN RIVER NEAR CULPEPER, VA",Ref,SEPlains,1209.747,02,38.350408,-77.974997,VA,yes,yes,79.0,60.0,20.0,POINT (1551049.96456645 1849637.018943768)
01668000,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",Non-ref,SEPlains,4135.021,02,38.308462,-77.529153,VA,,yes,102.0,60.0,20.0,POINT (1589844.540165057 1852389.550709574)
01673000,"PAMUNKEY RIVER NEAR HANOVER, VA",Non-ref,SEPlains,2796.263,02,37.767642,-77.332202,VA,,yes,68.0,60.0,20.0,POINT (1618410.066945391 1796250.867525374)
01674500,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",Non-ref,SEPlains,1554.768,02,37.887916,-77.163031,VA,,yes,66.0,58.0,20.0,POINT (1630230.185515083 1812361.004567198)
02011400,"JACKSON RIVER NEAR BACOVA, VA",Ref,EastHghlnds,407.7162,02,38.042347,-79.881444,VA,yes,yes,35.0,35.0,20.0,POINT (1394499.544966226 1786115.819156551)
02011460,"BACK CREEK NEAR SUNRISE, VA",Ref,EastHghlnds,156.3408,02,38.245401,-79.768663,VA,yes,yes,35.0,35.0,20.0,POINT (1400293.724572834 1810204.581465881)
02011470,"BACK CREEK AT SUNRISE, VA",Non-ref,EastHghlnds,200.4327,02,38.190402,-79.81172,VA,,yes,25.0,25.0,20.0,POINT (1397660.258634645 1803495.534112439)
02011490,"LITTLE BACK CREEK NEAR SUNRISE, VA",Non-ref,EastHghlnds,12.7701,02,38.214568,-79.837555,VA,,yes,25.0,25.0,20.0,POINT (1394992.875357753 1805785.471675629)
02011500,"BACK CREEK NEAR MOUNTAIN GROVE, VA",Non-ref,EastHghlnds,348.0309,02,38.069569,-79.897,VA,,yes,58.0,58.0,20.0,POINT (1392652.064698316 1788895.066834128)
02011800,"JACKSON RIVER BL GATHRIGHT DAM NR HOT SPGS, VA",Non-ref,EastHghlnds,895.0734,02,37.948458,-79.949224,VA,,yes,36.0,36.0,20.0,POINT (1390460.463332321 1774749.743249019)
